iter	RMSE
0	115672.5301
1	112865.5474
2	110125.6359
3	107698.8812
4	105211.6252
5	103030.8343
6	100744.3101
7	98401.23075
8	96222.23026
9	94113.89138
10	92084.03939
11	89991.99888
12	88372.3076
13	86480.75797
14	84956.64074
15	83611.39936
16	81799.76959
17	80412.67345
18	78846.67643
19	77237.97014
20	75558.64187
21	74190.96745
22	72924.53403
23	71697.15966
24	70298.9733
25	69070.45533
26	67873.14524
27	66630.17898
28	65518.15374
29	64312.83875
30	63210.22129
31	62122.60098
32	61095.57021
33	60108.6829
34	59199.30348
35	58360.05438
36	57545.15326
37	56759.615
38	55951.17736
39	55216.502
40	54513.43749
41	53845.00615
42	53220.22377
43	52627.56631
44	52108.24292
45	51636.66099
46	51153.70781
47	50628.2731
48	50102.18915
49	49593.91326
50	49127.66968
51	48648.1961
52	48257.35247
53	47879.89218
54	47512.85785
55	47189.70737
56	46784.28124
57	46437.50872
58	46077.01989
59	45766.6222
60	45545.80355
61	45272.04252
62	44998.69195
63	44694.40289
64	44507.78871
65	44275.93878
66	44084.63782
67	43926.21532
68	43688.76864
69	43516.2195
70	43332.07084
71	43126.01816
72	42937.00489
73	42743.01156
74	42559.30759
75	42416.58486
76	42265.75304
77	42099.36532
78	41978.50449
79	41814.13995
80	41679.38439
81	41537.87713
82	41386.04881
83	41238.58647
84	41132.1456
85	41004.73845
86	40899.44519
87	40793.30923
88	40710.2021
89	40614.78731
90	40513.49274
91	40407.12852
92	40335.30745
93	40236.75003
94	40173.49352
95	40079.50002
96	39986.93173
97	39920.51631
98	39850.65248
99	39748.82111
100	39684.52784
101	39622.5893
102	39501.12469
103	39413.0865
104	39344.62008
105	39286.81257
106	39219.96727
107	39137.52895
108	39082.06611
109	39030.14945
110	38945.61922
111	38873.24652
112	38806.11832
113	38736.30473
114	38656.16636
115	38597.26057
116	38552.72455
117	38483.94508118	40064.30324
119	39993.88262
1120	38317.3155121	39847.7053
122	39758.7781
123	39720.30141
124	39666.45578
125	39611.18963
126	39545.19524
127	39481.8999
128	39388.14316
129	39346.42222
130	39289.21058
131	39253.88242
132	39186.54871
133	39119.4445
134	39040.37095
135	38993.99299
136	38934.54557
137	38898.72995
138	38838.11188
139	38788.33462
140	38759.06172
141	38668.91462
142	38581.39812
143	38534.61401
144	38420.02196
145	38354.23064
146	38291.13353
147	38210.76329
148	38174.09694
149	38122.76976
150	38076.39958
151	38019.37103
152	37980.05885
153	37933.2041
154	37874.27766
155	37791.74953
156	37753.82543
157	37694.28495
158	37645.99492
159	37602.18307
160	37570.575
161	37534.58214
162	37486.38318
163	37443.96006
164	37383.41452
165	37323.28612
166	37263.63862
167	37228.57502
168	37190.4347
169	37154.73156
170	37109.37857
171	37095.57385
172	37060.64844
173	37002.28918
174	36967.09848
175	36934.47098
176	36891.33373
177	36862.17681
178	3178	35568.8179	3179	35531.41243
180	35502.27826
181	35466.8702
182	35426.35202
183	35371.44485
184	35317.99185	185	35268.44186	36496.12777
187	36473.56424
188	36449.25065
189	36440.41462
190	36410.82456
191	36366.51157
192	36328.22538
193	36301.57804
194	36287.45986
195	36257.22853
196	36206.8738
197	36136.16453
198	36077.20873
199	36039.67243
200	35999.88554
201	35956.24352
202	35934.56637
203	35911.4965
204	35890.496
205	35879.0418
206	35845.09396
207	35820.95894
208	35799.62154
209	35790.27219
210	35740.28901
211	35682.79162
212	35633.86383
213	35605.1218
214	35567.71774
215	35494.66879
216	35461.26564
217	35411.3479
218	35332.91375
219	35287.32756
220	35273.52341
221	35203.26138
222	35193.68322
223	35169.67744
224	35129.76414
225	35110.53259
226	35090.95649
227	35060.94883
228	34987.63806
229	34972.31734
230	34926.34059
231	34914.63548
232	34866.76976
233	34833.25106
234	34796.81681
235	34782.29903
236	34765.18785
237	34727.1263
238	34677.12344
239	34619.08198
240	34582.36001
241	34555.18912
242	34541.67425
243	34515.73703
244	34506.7079
245	34435.68928
246	34372.18168
247	34333.28632
248	34300.90007
249	34272.91461
250	34259.96882
251	34221.57565
252	34191.28783
253	34184.3393
254	34136.82862
255	34106.18472
256	34066.67831
257	34025.50898
258	34012.99363
259	33971.56668
260	33918.48246
261	33883.00833
262	33835.76195
263	33802.84885
264	33788.97933
265	33760.13664
266	33722.19683
267	33675.11348
268	33655.29781
269	33616.23037
270	33596.86364
271	33584.27639
272	33501.92868
273	33479.20698
274	33468.79658
275	33432.18138
276	33399.47172
277	33366.69156
278	33347.13086
279	33317.29589
280	33254.29987
281	33157.61907
282	33123.75763
283	33065.30762
284	33037.66034
285	33027.32783
286	32999.2775
287	32968.42044
288	32948.18237
289	32915.41789
290	32884.5831
291	32852.56172
292	32757.13403
293	32752.05456
294	32713.63809
295	32680.24922
296	32643.82208
297	32602.10771
298	32558.56464
299	32525.85676
300	32492.2616
301	32486.99232
302	32426.07632
303	32391.74709
304	32381.83606
305	32351.94021
306	32314.74518
307	32285.21733
308	32280.83361
309	32276.24385
310310	30813.124311311	30794.315312312	30734.79284
313	30705.86656
314	30667.68494
315	30641.83004
316	30615.96676
317	30556.54818
318	30475.05957
319	30437.44338
320	30372.34324
321	30349.2947
322	30327.48479
323	30293.35995
324	30261.82458
325	30196.76153
326	30189.25346
327	30176.51208
328	30172.13637
329	30165.95827
330	30148.72751
331	30111.07061
332	30101.21979
333	30065.46388
334	30046.63158
335	30012.34543
336	29982.96736
337	29956.338	31338	29880.339	31339	298340	31550.50531
341	31464.22166
342	31460.57316
343	31433.49602
344	31401344	29743.96972
345	29718.69631
346	29645.3075
347	295348	312348	29577349	31186.65097
350	31159.22423
351	31133.84726
352	31090.38677
353	31061.57082
354	3354	29383.5355	30968.98485
356	356	29298.0357	3357	29274.0358	3358	29268359	308359	29245.86534
360	29224.92104
361	29205362	30743.14675
363	30721.9967
364	30648.988
365	30622.64403
366	30603.10877
367	30571.42371
368	30531.33026
369	30508.19015
370	30463.60836
371	30440.92459
372	30409.58782
373	30384.08157
374	30368.83486
375	303375	28814376	303376	28809377	302377	28805378	302378	28800.09272
379	28777380	30178.50964
381	301381	28695382	30382	28652.383	383	28563.54384	30089.60533
385	30067.34112
386	30039.9542
387	3387	28443.388	29388	28395.23871
389	28368.7248
390	28347.27038
391	28325.86295
392	28308.69339
393	28287.85497
394	28217.43286
395	28214.276
396	28193.98345
397	28180.86622
398	28112.78236
399	28108.31363
400	28048.95986
401	28025.936
402	28007.4614
403	27988.14375
404	27971.10561
405	27923.99453
406	27898.96262
407	27882.53664
408	27865.55402
409	27847.66783
410	27829.51118
411	27776.26371
412	27758.35623
413	27740.56035
414	27722.48392
415	27708.24867
416	27691.78609
417	27673.47881
418	27656.26289
419	27599.07031
420	27554.53817
421	27542.40626
422	27527.30296
423	27502.09175
424	27486.12027
425	27464.51725
426	27436.42711
427	27386.96647
428	27340.58478
429	27324.14462
430	27285.84511
431	27260.17737
432	27244.27063
433	27218.36375
434	27200.63833
435	27180.52339
436	27148.7729
437	27134.24962
438	27083.39559
439	27065.65609
440	27050.26544
441	27010.99967
442	26996.11761
443	26977.30311
444	26963.50021
445	26943.86358
446	26898.91202
447	26860.57361
448	26856.49489
449	26848.55426
450	26832.50808
451	26813.52927
452	26796.74382
453	26762.38693
454	26758.36633
455	26741.75955
456	26684.11039
457	26680.17327
458	26644.52871
459	26595.81503
460	26574.08834
461	26570.2541
462	26552.37998
463	26537.73778
464	26521.57297
465	26475.13889
466	26459.5596
467	26390.23151
468	26372.35028
469	26341.40625
470	26288.84994
471	26285.13371
472	26251.71905
473	26236.99413
474	26224.11048
475	26211.95588
476	26171.28471
477	26147.13175
478	26124.60809
479	26091.24205
480	26055.88325
481	26032.16893
482	26005.38663
483	25982.82692
484	25941.71292
485	25893.1862
486	25855.05831
487	25840.44175
488	25829.53841
489	25782.37121
490	25733.08992
491	25720.54232
492	25701.54749
493	25688.69486
494	25674.58791
495	25671.11092
496	25635.079497497	25618.857498	27095.34553
499	27049.42893
500	26990.25808
501	26978.81597
502	26956.51866
503	26944.98407
504	26913.99044
505505	25431.150506506	25394.162507507	25373.23625
508	25353.25753
509	25331.90385
510	25318.19167
511	25298.53032
512	25278.00643
513	25255.20245
514	25241.29342
515	25230.73889
516	25213.80365
517	25201.26993
518	25188.60875
519	25171.16211
520	25141.6344
521	25130.39191
522	25116.14663
523	25102.87511
524	25081.1604
525	25066.00711
526	25021.35956
527	25002.65051
528	24989.20209
529	24975.69238
530	24960.41887
531	24945.63189
532	24897.18638
533	24865.66302
534	24853.15185
535	24799.79254
536	24788.30339
537	24767.6405
538	24765.09338
539	24751.97144
540	24717.43968
541	24653.28605
542	24641.49388
543	24600.6747
544	24575.45123
545	24548.92064
546	24526.2536
547	24517.42387
548	24470.16648
549	24457.8793
550	24444.49877
551	24428.28931
552	24378.80866
553	24366.36107
554	24334.09721
555	24331.27591
556	24296.66235
557	24277.75601
558	24269.85617
559	24243.79728
560	24202.29374
561	24141.92879
562	24129.75761
563	24105.30999
564	24081.73932
565	24024.21607
566	24012.84129
567	23982.08051
568	23970.35622
569	23961.87283
570	23950.98732
571	23927.10851
572	23924.30074
573	23905.32723
574	23880.28649
575	23865.67146
576	23819.5006
577	23761.15599
578	23748.07766
579	23738.86107
580	23727.40305
581	23677.91097
582	23659.27267
583	23646.85742
584	23644.00718
585	23623.27138
586	23611.50408
587	23574.95859
588	23566.51189
589	23563.96956
590	23553.61276
591	23540.89509
592	23506.78509
593	23497.08691
594	23490.09062
595	23473.88688
596	23423.63599
597	23416.67822
598	23385.63325
599	23350.79851
600	23333.33593
601	23325.52317
602	23291.94716
603	23250.38574
604	23220.07667
605	23172.68289
606	23155.80139
607	23135.57957
608	23121.19625
609	23084.51072
610	23061.27719
611	23044.64177
612	22996.1586
613	22967.90089
614	22960.09917
615	22956.80292
616	22940.69726
617	22905.10081
618	22897.50292
619	22860.26439
620	22813.13937
621	22810.51769
622	22776.78218
623	22775.09251
624	22763.75818
625	22723.04301
626	22715.10062
627	22675.51267
628	22672.94501
629	22650.104
630	22611.62291
631	22603.67882
632	22596.48303
633	22575.98536
634	22563.99559
635	22548.57841
636	22522.55354
637	22520.59944
638	22485.74625
639	22456.86215
640	22444.56099
641	22407.99354
642	22384.52505
643	22342.2291
644	22307.00383
645	22287.76908
646	22276.28824
647	22256.32312
648	22219.12605
649	22206.95925
650	22198.01654
651	22189.59168
652	22182.68906
653	22148.81709
654	22128.36558
655	22115.69771
656	22109.99184
657	22088.50587
658	22062.50846
659	22030.88117
660	22022.34894
661	21988.53264
662	21956.77545
663	21946.95318
664	21911.13811
665	21909.09814
666	21899.76685
667	21889.01121
668	21856.83999
669	21846.04239
670	21837.88145
671	21836.54572
672	21834.48905
673	21794.20486674	21785.708976675	21774.31366
676	21727.96375
677	21683.06477
678	21664.16279
679	21628.6914
680	21613.54119
681	21611.53823
682	21592.0235
683	21547.193
684	21529.39406
685	21521.69653
686	21489.55428
687	21477.91787
689	22344.11322
690	22307.2434
691	22294.31614
692	22283.77681
693	22250.42276
694	22247.11846
695	22241.90114
696	22223.91862
697	22202.94684
698	22164.92318
699	22158.33377
700	22127.08638
701	22106.48585
702	22079.69207
703	22049.86673
704	22039.46369
705	22034.48516
7705	21088.90384707	21976.34009
